{\"metric\":\"User.Utilization\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472541600,\"value\":10.98601330576069}
{\"metric\":\"Used\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557656,\"value\":4.933161708424727}
{\"metric\":\"Used\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557716,\"value\":4.7473373450677325}
{\"metric\":\"Used\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557776,\"value\":11.708921273837088}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557657,\"value\":11.785885780871297}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557717,\"value\":17.388304761211497}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557777,\"value\":16.783974834732934}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557658,\"value\":0.9473182738543273}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557718,\"value\":5.594299282965276}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557778,\"value\":6.253063561051134}
{\"metric\":\"Apdex\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557659,\"value\":9.488008610526453}
{\"metric\":\"Apdex\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557719,\"value\":4.545787430798405}
{\"metric\":\"Apdex\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557779,\"value\":3.3764287711312813}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557660,\"value\":8.576464002806869}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557720,\"value\":12.892156531121003}
{\"metric\":\"WebTransaction\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557780,\"value\":18.834208662023556}
{\"metric\":\"Database.cis_servicerepair.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":17.760476481056283}
{\"metric\":\"Database.cis_servicerepair.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":15.3685994939385}
{\"metric\":\"Database.cis_servicerepair.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":12.454153325570248}
{\"metric\":\"Database.cis_servicerepair.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":11.676506849076716}
{\"metric\":\"Database.cis_servicerepair.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":5.660608028094174}
{\"metric\":\"Database.cis_servicerepair.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":15.469698073597815}
{\"metric\":\"Database.cis_hardware.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":3.8698631538076222}
{\"metric\":\"Database.cis_hardware.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":13.168952083663328}
{\"metric\":\"Database.cis_hardware.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":2.9964595380067394}
{\"metric\":\"Database.cis_servicerepair.update\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":16.79607047270394}
{\"metric\":\"Database.cis_servicerepair.update\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":17.27331428936553}
{\"metric\":\"Database.cis_servicerepair.update\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":2.482735723098173}
{\"metric\":\"Database.ws_part_code.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":3.9072994598294475}
{\"metric\":\"Database.ws_part_code.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":5.822921332487791}
{\"metric\":\"Database.ws_part_code.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":2.684616143852352}
{\"metric\":\"Database.dual.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":0.31432326844723857}
{\"metric\":\"Database.dual.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":4.690935880439564}
{\"metric\":\"Database.dual.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":18.527298338079746}
{\"metric\":\"Database.cis_hardware.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":16.711254539603665}
{\"metric\":\"Database.cis_hardware.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":1.5828641553836653}
{\"metric\":\"Database.cis_hardware.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":6.154510734474423}
{\"metric\":\"Database.cis_station.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":19.002716136490704}
{\"metric\":\"Database.cis_station.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":14.27778435339377}
{\"metric\":\"Database.cis_station.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":8.814726388343184}
{\"metric\":\"Database.cis_photo.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557661,\"value\":7.146342972550155}
{\"metric\":\"Database.cis_photo.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557721,\"value\":15.570294524332072}
{\"metric\":\"Database.cis_photo.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557781,\"value\":8.55348009654604}
{\"metric\":\"Database.cis_servicerepair.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":13.080996412991198}
{\"metric\":\"Database.cis_servicerepair.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":6.74501494049379}
{\"metric\":\"Database.cis_servicerepair.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":8.449511851470373}
{\"metric\":\"Database.cis_servicerepair.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":17.267028306382585}
{\"metric\":\"Database.cis_servicerepair.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":16.404573896812785}
{\"metric\":\"Database.cis_servicerepair.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":2.9139378463620846}
{\"metric\":\"Database.cis_hardware.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":17.914976252858438}
{\"metric\":\"Database.cis_hardware.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":4.241883285236543}
{\"metric\":\"Database.cis_hardware.insert\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":17.22926349618427}
{\"metric\":\"Database.cis_servicerepair.update\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":11.386640931080656}
{\"metric\":\"Database.cis_servicerepair.update\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":7.353873957384582}
{\"metric\":\"Database.cis_servicerepair.update\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":11.255430827961208}
{\"metric\":\"Database.ws_part_code.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":8.844060569646093}
{\"metric\":\"Database.ws_part_code.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":10.130090941308827}
{\"metric\":\"Database.ws_part_code.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":11.752060599142615}
{\"metric\":\"Database.dual.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":17.219643525378274}
{\"metric\":\"Database.dual.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":9.581588824882171}
{\"metric\":\"Database.dual.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":1.9403483946314481}
{\"metric\":\"Database.cis_hardware.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557662,\"value\":8.875026381896117}
{\"metric\":\"Database.cis_hardware.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557722,\"value\":19.200442177554432}
{\"metric\":\"Database.cis_hardware.select\",\"tags\":{\"service\":\"http\"},\"timestamp\":1472557782,\"value\":13.160454633321619}
